Type of work,Experience,Employment Type,Operating mode,Job ID,Job Title,Employer Name,Job Description,Salaries,Category,min,max,type
Full-time,Senior,Permanent,Hybrid,57,Data Scientist – Investment Management,ITDS,"Data Scientist – Investment Management Join a world of innovation and data-driven excellence! This is a Wrocław -based hybrid opportunity – 3 days in the office per week (Relocation package available, including move and acocomodation) As a Data Scientist, you will be working for our client – a global leader in quantitative and systematic investment management. You will be responsible for leveraging data to drive investment strategies and enhance trading decisions. Your main responsibilities: Collaborate with Quantitative Researchers and Traders to design impactful datasets. Prototype and design code for data extraction, cleaning, and aggregation. Work with Engineers to automate and optimize data processes. Manage the onboarding of new datasets from start to finish. Solve data-related challenges to expedite production timelines. Innovate with novel data extraction methods to enhance capabilities. You're ideal for the role if you have: 3+ years of experience as a Data Scientist; buy-side quantitative finance experience is a plus. A postgraduate degree in Mathematics, Physics, or Engineering. Advanced Python programming skills, with proficiency in Pandas and NumPy. A keen interest in financial markets and data analysis. Experience with traditional and alternative financial datasets. Excellent communication skills for effective stakeholder collaboration. Ability to thrive in a high-performance, fast-paced environment. We offer you: ITDS Business Consultants is involved in many various, innovative and professional IT projects for international companies in the financial industry in Europe. We offer an environment for professional, ambitious, and driven people. The offer includes: Stable and long-term cooperation with very good conditions Enhance your skills and develop your expertise in the financial industry Work on the most strategic projects available in the market Define your career roadmap and develop yourself in the best and fastest possible way by delivering strategic projects for different clients of ITDS over several years Participate in Social Events, training, and work in an international environment Access to attractive Medical Package Access to Multisport Program Access to Pluralsight Flexible hours & remote work Internal job number #7131 You can report violations in accordance with ITDS’s Whistleblower Procedure available here .","[{""min"": 25000, ""max"": 30000, ""type"": ""Gross per month - Permanent""}]",Data Science,25000,30000,Gross per month - Permanent
Full-time,Senior,B2B,Remote,58,Data Scientist,Ework Group,"Ework Group- founded in 2000, listed on Nasdaq Stockholm, with around 13,000 independent professionals on assignment - we are the total talent solutions provider who partners with clients, in both the private and public sector, and professionals to create sustainable talent supply chains. With a focus on IT/OT, R&D, Engineering and Business Development, we deliver sustainable value through a holistic and independent approach to total talent management. By providing comprehensive talent solutions, combined with vast industry experience and excellence in execution, we form successful collaborations. We bridge clients and partners & professionals throughout the talent supply chain, for the benefit of individuals, organizations and society. 🔹 For our Client we are looking forSenior Data Scientist – Medical Image Analysis - remote work🔹 ✔️The Position This position focuses on exploring new insights and developing innovative technologies in the field of medical image analysis. Key responsibilities include the collection, curation, and processing of medical image data, as well as applying software engineering principles within the context of medical imaging and computer vision. You will also collaborate with team members, as well as clinical scientists from other disciplines to design, code, train, test, deploy, and iterate on machine learning systems. ✔️Main responsibilities include: Research, develop and implement medical image processing pipelines utilizing state of the art computer-vision-based approaches in the medical image analysis space. Implement and maintain local and cloud-based data and computational environments and platforms to enable the work. Build data pipelines (data curation, preparation, cleaning, and consolidation) as an integral part of data science activity. Utilize AI/ML (Artificial Intelligence/Machine Learning) to develop complex methodologies and analyses, all around various medical imaging modalities. Perform informed semi-automated quality assessments of the acquired imaging data and of the derived measures. Align with clinical experts on the requirements, constraints and deliverables of a project. ✔️Qualifications: In this role, it is necessary to have either a PhD degree with 3+ years’ relevant direct non-academic professional experience or PhD degree with a strong post-doc experience in the field of medical image analysis. Degree within computer science, mathematics, (medical-)engineering, physics, statistics, or a related quantitative discipline is preferred. ✔️Furthermore, you must have: Hands-on experience with deep learning for computer vision using deep/machine learning frameworks, mainly PyTorch, Sklearn, and with conventional image processing techniques. Strong practical knowledge in medical image analysis in multiple medical imaging modalities (X-ray, US, MRI, CT, Digital Pathology) across different therapies (cardiology, obesity, diabetes etc.) with a proven high impact academic publication record Solid understanding of deep learning theory: CNNs, Transformers, RNN, GenAI, etc., and its various applications in semantic segmentation, classification, object detection and more. The ability to develop and validate algorithms against clinical data, ensuring appropriateness of fit for data science processes The ability to do quick prototyping/proofs of concept up to production ready models following best practices. The ability to perform in-depth data analysis and present results and conclusions to engineering and leadership teams. Appetite for research work Ideally, you have hands on knowledge in imaging biomarkers in pharmaceutical industry, healthcare industry, medical device development or in another regulated field. Experience with modern software development toolset (CI/CD, AWS, Azure Machine Learning, git, JIRA) which includes writing high quality code processing vision/imaging data using Python is highly preferred and so are excellent written and oral communication skills. ✔️Department Overview The Imaging Analytics department part of AI and Analytics Department within Data Science division, where we apply state of the art algorithms and machine learning techniques to some of the hardest problems in the discovery and development of new healthcare solutions, focusing on medical imaging in the clinical trials space. By leveraging a blend of scientific, problem-solving, and quantitative skills, we provide superior data insights that empower us to further develop and deliver life-changing treatments. We work in multidisciplinary teams with strong collaboration across all areas of the organization and engage in external collaborations to ensure access to cutting edge research and technology. ✔️Join the team The organisation values flexibility in ways of working to support various life situations. Employees are recognised for their unique qualities and skills, and the environment fosters development and collaboration. The broader mission includes improving the lives of millions of patients globally through innovation and dedication to chronic disease care. There is a commitment to becoming not just the best company in the world, but the best company for the world. This vision can only be achieved through the contributions of talented employees with diverse backgrounds and perspectives. An inclusive culture is fostered that celebrates diversity across employees, patients, and communities. ✔️ We offer: B2B agreement Transparent working conditions with both Ework and the client Current support during our cooperation Possibility to work in an international environment Collaborative environment in Swedish organizational culture Private medical care Life insurance Multisport Teambuilding events","[{""min"": 162, ""max"": 179, ""type"": ""Net per hour - B2B""}]",Data Science,162,179,Net per hour - B2B
Full-time,Mid,B2B,Remote,59,ETL Developer,EndySoft,"Position Overview: We are seeking an experienced ETL Developer to join our data engineering team. The ideal candidate will be responsible for designing, developing, and maintaining robust ETL processes to ensure the efficient flow of data from various sources to data warehouses or data lakes. This role involves collaborating with business and technical teams to support data-driven decision-making and analytics initiatives. MD rate: 16600 - 20000PLN Roles and Responsibilities: Design, develop, and optimize ETL pipelines to extract, transform, and load data from multiple data sources. Collaborate with data architects and business analysts to gather and understand data requirements. Implement and maintain data integration workflows using ETL tools such as Informatica , Talend , SSIS , or Apache NiFi . Perform data validation and quality checks to ensure data integrity and accuracy. Troubleshoot and resolve issues related to ETL processes and data flows. Monitor and enhance the performance of ETL jobs to meet business SLA requirements. Maintain and document technical solutions, including data mappings, workflows, and procedures. Work closely with other data team members to support data warehouse and data lake initiatives. Required Skills and Experience: Proficiency in SQL for querying and transforming data. Hands-on experience with ETL tools such as Informatica , Talend , SSIS , or similar. Strong knowledge of data modeling techniques, including star schema and snowflake schema . Experience in data integration and data warehousing concepts. Familiarity with cloud platforms (e.g., AWS Glue , Azure Data Factory , Google Dataflow ) for ETL processes. Strong problem-solving skills and the ability to troubleshoot complex data issues. Experience with scripting languages such as Python , Shell , or Bash for automation. Excellent communication and collaboration skills to work effectively with cross-functional teams. Nice to Have: Experience with big data tools such as Spark , Kafka , or Hadoop . Knowledge of NoSQL databases like MongoDB or Cassandra . Familiarity with DataOps practices and CI/CD pipelines for ETL workflows. Exposure to data governance and metadata management tools. Understanding of data security and compliance requirements. Experience with version control systems like Git . Exposure to Agile/Scrum methodologies. Additional Information: This role provides an opportunity to work on complex data integration projects and contribute to the development of scalable data solutions. If you are passionate about transforming raw data into actionable insights and thrive in a fast-paced environment, we encourage you to apply.","[{""min"": 16600, ""max"": 20000, ""type"": ""Net per month - B2B""}]",Data Engineering,16600,20000,Net per month - B2B
Full-time,Senior,B2B,Remote,62,Senior Cloud Data Engineer (Azure and Databricks),Future Processing,"Do naszej linii biznesowej Data Solutions poszukujemy osoby na stanowisko Senior Cloud Data Engineer ze znajomością Azure. Szukamy Ciebie, jeśli: masz min. 5 lat doświadczenia w IT, w tym min. 3,5 roku w pracy z danymi w chmurze Azure (potwierdzone projektami komercyjnymi wdrożonymi na produkcje), masz komercyjne doświadczenie w przetwarzaniu sporych danych przy użyciu Databricks, korzystasz z SQL na poziomie zaawansowanym i wykorzystujesz go na rozwiązaniach technologicznych MS i nie tylko, znasz metodyki i stosujesz biegle Git oraz CI/CD , masz doświadczenie w pracy z platformą Microsoft Fabric , tworzysz i optymalizujesz rozwiązania przetwarzające dane (ETL, ELT, itp.) poprzedzone projektem technicznym oraz alternatywami rozwiązań, monitoring, diagnostyka oraz rozwiązywanie problemów w chmurze nie stanowi dla Ciebie problemu i dobrze wiesz, jak zaplanować infrastrukturę oraz obliczyć jej koszt, koncepcje Delta Lake i Data Lakehouse są Ci znane, znasz architekturę SMP oraz MPP wraz z przykładami rozwiązań opartych o te architektury, masz wiedzę na temat migracji rozwiązań on-premise do chmury oraz znasz podstawowe typy migracji, masz wiedzę na temat stosowania mechanizmów związanych z bezpiecznym przechowywaniem i przetwarzaniem danych w chmurze, bardzo dobrze znasz usługi związanie z przechowywaniem i przetwarzaniem danych, oferowanych przez dostawcę chmury Azure, masz doświadczenie w bezpośredniej współpracy z klientem, posługujesz się j. angielskim na poziomie średniozaawansowanym (min. B2). Praca na tym stanowisku w naszej firmie oznacza: odpowiedzialność za całość rozwiązań współtworzonych wraz z zespołem, tworzenie lub modyfikowanie rozwiązań do przetwarzania danych w chmurze, tworzenie i modyfikowanie dokumentacji, analizowanie i optymalizowanie rozwiązań w zakresie działającego lub projektowanego systemu, analizowanie wymagań klienta pod kątem dostarczenia optymalnego rozwiązania jego potrzeby biznesowej, analizowanie potencjalnych zagrożeń, dostosowywanie rozwiązań względem wymagań biznesowych.","[{""min"": 135, ""max"": 200, ""type"": ""Net per hour - B2B""}]",Data Engineering,135,200,Net per hour - B2B
Full-time,Senior,B2B,Remote,63,Programista Baz Danych,TSS,"W TSS tworzymy najwyższej jakości rozwiązania z zakresuSoftware Development, FinTech, AI Solution. Tworzymy systemy płatnicze, bramki płatnicze online oraz rozwiązania umożliwiające innowacyjne procesowanie płatności. Nasze zespoły uczestniczą również w projektach wykonywanych dla klientów z wielu różnych branż i specjalizacji. Jeśli chcesz dołączyć do zespołu entuzjastów, dla których praca jest jednocześnie pasją, przygodą i możliwością rozwoju zawodowego dołącz do team’u TSS już teraz! Doświadczenie: 5 lat w pracy z relacyjnymi bazami danychnp. PostgreSQL, MySQL, MSSQL, ORACLE 4 lata doświadczenia w zakresie wykorzystania jednego z proceduralnych języków programowania np.PL/SQL, PL/PqSQL Bardzo dobra znajomość SQL orazPostgreSQL Znajomość zasad zarządzania, konfiguracji i optymalizacji bazy danych PostgresSQL Doświadczenie w migracji danych z systemówklasy enterprise Doświadczenia w analizie i transformacji danych Projektowanie i eksploatacja baz danych systemu Optymalizacja obecnie eksploatowanych baz danych systemu Bieżąca współpraca z zespołem wytwórczym Co oferujemy? Możliwość pracy w pełni zdalnej lub w biurze w Warszawie; Stabilną współpracę na podstawie B2B; Dofinansowanie do prywatnej opieki medycznej w PZU; Wsparcie w rozwoju zawodowym - wewnętrzne szkolenia z zakresu cyberbezpieczeństwa;","[{""min"": 14000, ""max"": 18000, ""type"": ""Net per month - B2B""}]",Database Administration,14000,18000,Net per month - B2B
Full-time,Mid,Permanent,Remote,64,Data Engineer,INFOPLUS TECHNOLOGIES,"Job Description Create and maintain optimal data pipeline architecture. Assemble large, complex data sets that meet functional / non-functional business requirements. Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources data sources using SQL and AWS ‘big data’ technologies. Build analytics tools (Tableu) that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics. Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs. Keep our data separated and secure across national boundaries through multiple data centers and AWS regions. Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader. Work with data and analytics experts to strive for greater functionality in our data systems. Work with system integration and middlewares (MuleSoft, Talend, Solace and etc) Perform proof of concept with customer in data integration and data load Managing structure and unstructured data set Managing and design data privacy, integrity and security solution Managing data with high confidentiality, integrity and privacy Skills Experience with working in agile methodologies (Scrum or SAFe) Good teamwork and communication skill (Higher Performance Team) Able to be self organized and focus in delivering values to the business Always work with integrity, passion and courage Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) and Nosql unstructured database Familiarity with a variety of databases (Microsoft SQL is mandatory). Familiarity reporting tools and dashboards like Tableu. Experience building and optimizing ‘big data’ data pipelines, architectures and data sets. Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement. Strong analytic skills related to working with unstructured datasets. Build processes supporting data transformation, data structures, metadata, dependency and workload management. A successful history of manipulating, processing and extracting value from large disconnected datasets. Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores. Preferable middleware knowledge, example: MuleSoft, Solace. Strong project management and organizational skills. Experience supporting and working with cross-functional teams in a dynamic environment. We are looking for a candidate with 5+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. They should also have experience using the following software/tools: Experience with big data tools: Hadoop, Spark, Kafka, etc. Experience with relational SQL and NoSQL databases, including Postgres and Cassandra. Experience with data pipeline and workflow management tools: Azkaban, Luigi, Airflow, etc. Experience with AWS cloud services: EC2, EMR, RDS, Redshift Experience with stream-processing systems: Storm, Spark-Streaming, etc. Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.","[{""min"": 220000, ""max"": 250000, ""type"": ""Gross per year - Permanent""}]",Data Engineering,220000,250000,Gross per year - Permanent
Full-time,Senior,B2B,Remote,65,Analityk Systemowy,Detable,"Dołącz doDetable Sp. Z o.o.- prężnie rozwijającej się firmy, która stawia na długofalową współpracę z doświadczonymi profesjonalistami. Od ponad 3 lat jesteśmy partnerem dla instytucji z sektora publicznego, współpracujemym.in. zCentrum e-zdrowia, Aplikacjami Krytycznymi Ministerstwa Finansów, Głównym Urzędem Nadzoru Budowlanego, Urzędem Do Spraw Cudzoziemców,Narodowym Funduszem Zdrowiai wieloma innymi. Nasi konsultanci pracują nad rozwojem aplikacji i systemów, z których korzystają miliony Polaków! Posiadasz minimum 3 lata doświadczenia w pracy na stanowisku Analityka w projektach dla klienta masowego; Na co dzień pracujesz z SQL, Python, PostgresSQL, Oracle; Składnice danych, Mapowania, Raportowanie (BI) nie mają przed Tobą tajemnic; Wykorzystujesz w codziennej procesy ETL/ELT; Miałeś okazję tworzyć modele logiczne i fizyczne z wykorzystniem narzędzia Enterprise Architect; Możesz pochwalić się znajomością i doświadczeniem w obszarze ochrony zdrowia; Posiadasz doświadczenie w obszarze Hurtowni Danych; Dodatkowym atutem będzie jeśli możesz pochwalić się jednym z certyfikatów: AgilePM, certyfikat potwierdzający znajomość SQL/Python. Pozyskiwaniu wymagań systemowo- biznesowych dla projektów IT; Modelowaniem otoczenia i procesów systemowo-biznesowych oraz wytwarzaniem modelu danych; Określanie przypadków użycia systemów informatycznych; Modelowanie danych na poziomie logicznym; Projektowanie i dokumentowanie przepływów danych (ETL) oraz struktur raportowych; Określanie architektury dla projektowanych systemów; Definiowanie interfejsów oraz przepływu komunikacji między modułami; Modelowanie diagramów aktywności, sekwencji oraz stanów dla modułów projektowanych systemów; Proponowanie i konsultowanie rozwiązań systemowych ze zleceniodawcami oraz realizatorami zdefiniowanych wymagań; Wsparcie analityczne na etapach projektowania, wytwarzania i testowania systemów informatycznych. Konkurencyjne wynagrodzenie w oparciu o kontrakt B2B ( do 140PLN netto/h); Długofalową współpracę opartą o wzajemny szacunek i partnerstwo; Dedykowanego opiekuna kontraktu po stronie Detable; Możliwość 100% pracy zdalnej lub z naszego biura w Białymstoku; Możliwość podnoszenia swoich kwalifikacji poprzez skorzystanie z budżetu szkoleniowego; Realny wpływ na rozwój projektu; Atrakcyjny program poleceń pracowniczych; Zdalny proces rekrutacji. Rozmowa HR z naszą IT Rekruterką; Weryfikacja umiejętności technicznych przez naszego Lidera technicznego; Spotkanie z klientem; Decyzja i rozpoczęcie współpracy","[{""min"": 20160, ""max"": 23520, ""type"": ""Net per month - B2B""}]",Data Analysis & BI,20160,23520,Net per month - B2B
Full-time,Mid,B2B,Hybrid,66,Data Engineer (Scala),SCALO,"W Scalo zajmujemy się dostarczaniem projektów software'owych i wspieraniem naszych partnerów w rozwijaniu ich biznesu. Tworzymy oprogramowanie, które umożliwia ludziom dokonywanie zmian, działanie w szybszym tempie oraz osiąganie lepszych rezultatów. Jesteśmy firmą, która wykorzystuje szerokie spektrum usług IT, żeby pomagać klientom. Obszary naszego działania to m.in.: doradztwo technologiczne, tworzenie oprogramowania, systemy wbudowane, rozwiązania chmurowe, zarządzanie danymi, dedykowane zespoły developerskie. Cześć! U nas znajdziesz to, czego szukasz - przekonaj się! W Scalo czeka na Ciebie: rozwijanie platformy DataHub do przechowywania i przetwarzania danych. Wykorzystywany stos technologiczny: Spark, Scala, TDD, Hadoop, Hive, DataBricks, CI/CD, Git, GitHub, Jenkins, Sonar, Nexus, Jira, SQL, PostgreSQL, rozwój, testowanie i wdrażanie specyfikacji technicznych i funkcjonalnych przygotowanych przez Solution Designerów, Architektów Biznesowych oraz Analityków Biznesowych, zapewnienie poprawnego działania opracowanych rozwiązań, dbanie o zgodność z wewnętrznymi standardami jakości, praca w modelu hybrydowym: 1-2 razy w tygodniu praca z biura w Warszawie, stawka do 170 zł/h przy B2B w zależności od doświadczenia. Ta oferta jest dla Ciebie, jeśli: masz minimum 2 lata doświadczenia z Apache Spark i Scalą, znasz wzorce projektowe i pracujesz w podejściu Test-Driven Development (TDD), masz doświadczenie z technologiami Big Data – Spark, Hadoop, Hive (znajomość Azure Databricks będzie dodatkowym atutem), masz doświadczenie w pracy w metodyce SCRUM/Agile, masz doświadczenie w integracji i zarządzaniu dużymi wolumenami danych, dobrze znasz narzędzia CI/CD i DevOps: Git, GitHub, Jenkins, Sonar, Nexus, Jira, posiadasz znajomość struktur baz danych (PostgreSQL, SQL, Hive), biegle komunikujesz się w języku angielskim (min. B2), mile widziane doświadczenie z Bash, Control-M, Docker, Kubernetes, OS3, Azure, AWS. Co dla Ciebie mamy: długofalową współpracę - różnorodne projekty (działamy w ramach Software Services, Embedded Services, Data Services, Cloud Services), możliwość rozwoju kompetencji we współpracy z naszym Center of Excellence, kafeteryjny system benefitów – Motivizer, prywatną opiekę medyczną – Luxmed. Brzmi interesująco? Aplikuj – czekamy na Twoje CV!","[{""min"": 25200, ""max"": 28560, ""type"": ""Net per month - B2B""}]",Data Engineering,25200,28560,Net per month - B2B
Full-time,Mid,B2B,Hybrid,67,Big Data Analyst,SCALO,"W Scalo zajmujemy się dostarczaniem projektów software'owych i wspieraniem naszych partnerów w rozwijaniu ich biznesu. Tworzymy oprogramowanie, które umożliwia ludziom dokonywanie zmian, działanie w szybszym tempie oraz osiąganie lepszych rezultatów. Jesteśmy firmą, która wykorzystuje szerokie spektrum usług IT, żeby pomagać klientom. Obszary naszego działania to m.in.: doradztwo technologiczne, tworzenie oprogramowania, systemy wbudowane, rozwiązania chmurowe, zarządzanie danymi, dedykowane zespoły developerskie. Cześć! U nas znajdziesz to, czego szukasz - przekonaj się! W Scalo czeka na Ciebie: udział w projekcie gromadzącym dane dotyczące użytkowania urządzeń domowych. Wykorzystywany stos technologiczny w projekcie: SQL, Python, R, Scala, Hadoop, Spark, Hive, Kafka, Power BI, DAX, Power Query, przetwarzanie, modelowanie i transformacja danych, tworzenie i wdrażanie modeli danych reprezentujących struktury i relacje danych, programowanie skryptów w Pythonie, R lub Scala na potrzeby analizy i wizualizacji danych, automatyzacja procesów przetwarzania danych, wdrażanie efektywnych metod przechowywania i pozyskiwania danych, integracja technologii Big Data z przepływami danych, projektowanie i tworzenie interaktywnych, profesjonalnych dashboardów w Power BI, zapewnienie intuicyjności i dopasowania dashboardów do potrzeb biznesowych, tworzenie trafnych wizualizacji skutecznie komunikujących wnioski z danych, dostosowywanie wizualizacji do różnych odbiorców biznesowych, optymalizacja przepływów pracy związanych z przetwarzaniem i wizualizacją danych, praca w modelu hybrydowym: min. 1x na miesiąc w biurze w Warszawie, stawka do 120 zł/h przy B2B w zależności od doświadczenia. Ta oferta jest dla Ciebie, jeśli: masz min. 3 lata doświadczenia na stanowisku Data Analyst, masz bardzo dobrą znajomość SQL i technik zapytań do baz danych, masz praktyczne doświadczenie w przetwarzaniu, modelowaniu i transformacji danych, znasz przynajmniej jeden język programowania wykorzystywany w analizie danych (np. Python, R, Scala), masz doświadczenie w pracy z dużymi, złożonymi zbiorami danych, potrafisz tworzyć profesjonalne, interaktywne dashboardy w Power BI, masz doświadczenie w pracy z DAX i Power Query przy modelowaniu i transformacji danych w Power BI, potrafisz przekładać potrzeby biznesowe na rozwiązania techniczne oraz prezentować rekomendacje oparte na danych, znasz język angielski na poziomie min. C1, mile widziane doświadczenie z technologiami Big Data (np. Hadoop, Spark, Hive, Kafka). Co dla Ciebie mamy: długofalową współpracę - różnorodne projekty (działamy w ramach Software Services, Embedded Services, Data Services, Cloud Services), możliwość rozwoju kompetencji we współpracy z naszym Center of Excellence, kafeteryjny system benefitów – Motivizer, prywatną opiekę medyczną – Luxmed. Brzmi interesująco? Aplikuj – czekamy na Twoje CV!","[{""min"": 16000, ""max"": 19200, ""type"": ""Net per month - B2B""}]",Data Analysis & BI,16000,19200,Net per month - B2B
Full-time,Mid,B2B,Remote,68,Data Architect with AWS,Link Group,"About the Role: We are looking for a skilled and experiencedData Architectwith strong knowledge ofAWS cloud servicesto join our team. This role involves designing scalable, secure, and high-performance data solutions in a cloud-native environment. You'll work closely with data engineers, analysts, and business stakeholders to create modern data platforms that support analytics, reporting, and AI/ML initiatives. Design and implement cloud-native data architecture using AWS services Define data models, architecture standards, and best practices for data pipelines, storage, and security Collaborate with stakeholders to understand business and technical requirements Guide development of data lakes, data warehouses, and real-time data streaming systems Ensure compliance with data governance, security, and privacy standards Evaluate and recommend appropriate AWS services and tools Support the development and review of ETL/ELT processes Provide technical leadership to data engineering teams Proven experience as aData Architect,Cloud Architect, orSenior Data Engineerwith architectural responsibilities Expertise inAWS cloud services(e.g., S3, Redshift, Glue, Lambda, EMR, Athena, Kinesis, Lake Formation) Strong knowledge ofdata modeling,ETL/ELT, anddata warehousing concepts Experience designing and implementingdata lakesandmodern data platforms Familiarity withinfrastructure-as-code(e.g., Terraform, CloudFormation) Experience withSQLand at least one scripting/programming language (e.g., Python) Understanding ofdata governance,compliance, andsecurity standards Excellent communication skills in English Experience withSnowflake,Databricks, or similar platforms Knowledge ofmachine learning workflowsand MLOps Familiarity withdata meshorevent-driven architectures","[{""min"": 150, ""max"": 180, ""type"": ""Net per hour - B2B""}]",Data Architecture,150,180,Net per hour - B2B
Full-time,Senior,Permanent or B2B,Remote,70,Senior Data Engineer,N-iX,"We are seeking a Senior Data Engineer specializing in Databricks to join our global team. You will be instrumental in setting up and maintaining our Databricks platform, building robust data pipelines, and collaborating closely with our solution architects and data scientists. Your expertise will directly support our mission to leverage data and AI effectively within a cutting-edge automotive claims management environment. Key Responsibilities: Design, build, and maintain robust data pipelines within Databricks. Collaborate closely with international teams, including data scientists and architects, to develop scalable data solutions. Debug complex issues in data pipelines and proactively enhance system performance and reliability. Set up Databricks environments on cloud platforms (Azure/AWS). Automate processes using CI/CD practices and infrastructure tools such as Terraform. Create and maintain detailed documentation, including workflows and operational checklists. Develop integration and unit tests to ensure data quality and reliability. Migrate legacy data systems to Databricks, ensuring minimal disruption. Participate actively in defining data governance and management strategies. What We Expect from You (Requirements): 5+ years of proven experience as a Data Engineer. Advanced proficiency in Python for developing production-grade data pipelines. Extensive hands-on experience with Databricks platform. Strong knowledge of Apache Spark for big data processing. Familiarity with cloud environments, specifically Azure or AWS. Proficiency with SQL and experience managing relational databases (MS SQL preferred). Practical experience with Airflow or similar data orchestration tools. Strong understanding of CI/CD pipelines and experience with tools like GitLab. Solid skills in debugging complex data pipeline issues. Proficiency in structured documentation practices. B2 level or higher proficiency in English. Strong collaboration skills, ability to adapt, and eagerness to learn in an international team environment. Nice to have: Experience with Docker and Kubernetes. Familiarity with Elasticsearch or other vector databases. Understanding of DBT (data build tool). Ability to travel abroad twice a year for on-site workshops. Why Join Us Work on impactful projects with cross-functional teams. Opportunity to grow your BI and analytics career in a data-driven organization. Flexible working hours and remote work options. Competitive compensation and benefits. Opportunity to work on presales We offer*: Flexible working format - remote, office-based or flexible A competitive salary and good compensation package Personalized career growth Professional development tools (mentorship program, tech talks and trainings, centers of excellence, and more) Active tech communities with regular knowledge sharing Education reimbursement Memorable anniversary presents Corporate events and team buildings Other location-specific benefits *not applicable for freelancers","[{""min"": 29553, ""max"": 30661, ""type"": ""Net per month - B2B""}, {""min"": 24381, ""max"": 25489, ""type"": ""Gross per month - Permanent""}]",Data Engineering,29553,30661,Net per month - B2B
Full-time,Senior,B2B,Remote,71,"Senior BI Developer (Power BI, Power Automate)",Holisticon Connect,"Holisticon Connectis a division within NEXER GROUP - a custom software development company. We started in Poland in 2017 and are now a team of over 140 people. We have the opportunity to work with world-renowned brands from Scandinavia, the UK, and Western Europe. Our goal is to grow stronger, in competence rather than in numbers. If you like what we do, check out our offer, maybe we will have the pleasure of meeting you! 😊 We are looking for an experienced Business Intelligence Developer (Power BI)to join our team at a leadingSwedish manufacturing company. In this role, you will take ownership of the frontend development of a proprietary Business Intelligence (BI) and analytics platform used across distribution and customer management services. You’ll become part of across-functional team currently leading the migration of reporting systems from on-premise to the cloud, using modern Microsoft technologies. This is a great opportunity to contribute your expertise to a high-impact transformation initiative. The project environment is dynamic and international, and success in this role will requirestrong technical proficiency,proactive communication, anda solutions-driven mindset. While expectations are high, you’ll be working in a company shaped byScandinavian work culture, wheretrust, autonomy, and transparencyare central values. Responsibilities: Lead frontend development in Power BI Premium (Cloud) for BI and analytics tools. Design, build, and maintain dashboards, reports, and data visualizations that serve business-critical needs. Develop and optimize solutions using Power BI and Power Automate, ensuring high usability and performance. Collaborate with backend engineers, frontend engineers, analysts, and business stakeholders to translate complex requirements into clear, actionable reports. Contribute to the continuous improvement of reporting frameworks and analytical tools across the organization. We offer a B2B Contract: 120-150 PLN net/hour + VAT (depending on experience) You might be the perfect match if you are/have: 4+ years of experience withPower BI(including Premium features) andPower Automate. Proficiency inSQLand a strong understanding of data modeling, cubes, and reporting tools. Experience working oncomplex BI projects(preferablyin the finance sector), involving multiple dashboards and data sources. Familiarity with large-scale BI projects or migration efforts. Strong problem-solving skills and a passion for building well-designed, user-friendly reporting solutions. Clear and proactive communication skills, especially in cross-functional, international teams. Aself-starter mindset, able to work independently, prioritize tasks, and drive projects to completion. Fluent Englishfor smooth collaboration. Located in Polandto support formalities and occasional team meetings. Moreover, we appreciate skills in these areas: Hands-on experience withPython and/or Snowflake. Experience in cross-functional development teams within global organizations. By joining us, you gain the following: Opportunity to work on exciting, international projects in cutting-edge industries like Automotive, Biotech, IoT; Possibility to develop in cloud technologies; Becoming part of a team that believes that the next step to a promising future is to put your heart into it and make it happen; Respect for your private lifeso you don't have to work overtime or on weekends; Team Events budget to socialize outside of work; Company Events to celebrate smaller and bigger successes (Summer Party, Programmer's Day, and trips abroad – so far we've been in Cape Town, Are, and Barcelona). Perks and benefits: Fully remotework or in our office in Wrocław; Free benefits such asLuxmed,Multisport, andlife insurance in Nationale Nederlanden; Attractivereferral system(9,5k for senior, 6k for mid, 2,5k for junior); Personal Training Budgetwith additional paid hours; Passion Day -an extra day off for your hobby to spend as you please; Flexible working hourswith no micro-management approach. Our core hours are 9-15, the rest of the working time is up to you; We provide high-quality work equipment +2 additional monitorsand accessories. If you apply for this position and match our expectations, then: 1) You will be invited to an HR Screening with our IT Recruiter.2) You will have an interview with client. Submit your application online in one easy step! Apply now!","[{""min"": 120, ""max"": 150, ""type"": ""Net per hour - B2B""}]",Data Analysis & BI,120,150,Net per hour - B2B
