Type of work,Experience,Employment Type,Operating mode,Job ID,Job Title,Employer Name,Job Description,Salaries,Category_manual,Category
Full-time,Senior,B2B,Remote,80,MLOps / Data Engineer – Databricks & AI Pipelines,Craftware,"Key Tasks & Responsibilities Design & Develop: Build scalable data platforms on Azure Cloud using Azure Data Factory, Databricks, ADLS, and other Azure services. Operationalize AI Solutions: Support deployment and maintenance of Data Science solutions; manage the full lifecycle of AI products with a focus on industrialization and operations. Workflow Orchestration: Orchestrate data workflows and machine learning pipelines. Monitoring & Resilience: Implement monitoring and backup strategies to ensure solution robustness; respond to failures and prevent recurrence (e.g., Azure Monitor, Log Analytics). Data Management: Experience integrating data from multiple sources and managing access with Unity Catalog; familiarity with Key Vault and Purview is a plus. CI/CD & Code Management: Build and maintain production-grade pipelines in Spark/PySpark; ensure version control via Git and apply best practices for CI/CD automation. Experimentation & Reproducibility: Improve reproducibility and scalability of ML workflows; build frameworks for experimentation efficiency. Optimization: Optimize ML solutions for performance and cost efficiency in cloud environments. Collaboration: Work closely with data scientists and analysts to deliver efficient data and AI solutions. Solution Architecture: Actively contribute to architectural discussions by proposing improvements and identifying technical gaps. Continuous Improvement: Stay current with Azure and Databricks technologies to continuously improve workflows and automation. Qualifications & Competencies Education: Bachelor’s degree in Computer Science, Mathematics, Statistics, Engineering or related fields. Master’s is a plus. Experience: 3–4+ years of hands-on experience working with cloud-based data platforms and advanced analytics/AI products. Programming Skills: Proficiency in Python Big Data & ML Pipelines: Strong experience with Spark & PySpark Experience building ETL/ELT and ML pipelines Azure Cloud Expertise: Experience with Azure Data Factory, ADLS, SQL services Familiarity with Azure Apps, Containers, Storage Experience with security and governance (Purview, Unity Catalog, Key Vault) DevOps & CI/CD: Hands-on experience with CI/CD pipelines, Git-based workflows, and deployment automation Experience with Docker Tools like SonarQube, flake8 (nice to have) Soft Skills: Strong problem-solving and communication skills Proven ability to collaborate across technical teams Nice to Have Experience with generative AI, forecasting, optimization, or simulation Knowledge of SQL/NoSQL, data modeling, and warehousing principles We offer: B2B contract 100% remote work Wide range of projects (internal and international) Dedicated certification budget Annual evaluation meetings to define an individual development path Benefits package Integration trips","[{""min"": 150, ""max"": 210, ""type"": ""Net per hour - B2B""}]",Data Science,Data Science
Full-time,Senior,B2B,Hybrid,81,Data Engineer,Antal Sp. z o.o.,"Join Us as a Data Engineer Location: Kraków, Poland (Hybrid – 5 days/month in office) Industry: FinTech / Data / Cloud / AI Are you passionate about working with impactful data in a modern tech stack? Want to help build solutions that directly protect millions of people and institutions from financial crime? This is your opportunity. We're part of Risk & Compliance Technology , a global team designing and delivering innovative solutions to protect the bank and its customers from financial crime, sanctions risk, identity threats, unauthorized trading, and regulatory breaches. Our mission: empower global growth through intelligent, data-driven risk management. Right now, we’re building a secure, scalable platform powered by Generative AI to automatically generate concise, accurate insights—helping investigators assess risk faster, spot suspicious patterns, and act quickly. You’ll be at the heart of this transformation. Who We’re Looking For We’re seeking a Data Engineer to join our FinCrime IT team , working across regions and disciplines. You’ll collaborate with developers, architects, and business stakeholders to shape a solution that makes a difference. This is a hands-on role in a forward-thinking, agile environment. We value curiosity, ownership, and a problem-solving mindset. What You’ll Do Design, build, and maintain components of a cutting-edge investigation support platform Design, build, and maintain components of a cutting-edge investigation support platform Take part in the entire development lifecycle: design, implementation, testing, and deployment Take part in the entire development lifecycle: design, implementation, testing, and deployment Work closely with cross-functional and international teams—including architecture, security, and compliance Work closely with cross-functional and international teams—including architecture, security, and compliance Build scalable, cloud-native processes that empower intelligent decision-making Build scalable, cloud-native processes that empower intelligent decision-making What You Bring Experience: Proven experience with data analysis and data engineering (Python, SQL) Proven experience with data analysis and data engineering (Python, SQL) End-to-end development lifecycle experience in large-scale IT projects End-to-end development lifecycle experience in large-scale IT projects Background in financial services or compliance-related technology (preferred) Background in financial services or compliance-related technology (preferred) Experience building and deploying solutions in a cloud environment (ideally Google Cloud) Experience building and deploying solutions in a cloud environment (ideally Google Cloud) Technical Skills: Languages & Tools : Python, SQL, Bash Languages & Tools : Python, SQL, Bash Cloud : Google Cloud Platform (BigQuery, Dataproc, Airflow) Cloud : Google Cloud Platform (BigQuery, Dataproc, Airflow) Containers & Infra : Docker, Kubernetes, GKE, Cloud Run Containers & Infra : Docker, Kubernetes, GKE, Cloud Run Security : IAM, roles, service accounts, secure development practices Security : IAM, roles, service accounts, secure development practices DevOps : Terraform, Jenkins, Ansible, Nexus DevOps : Terraform, Jenkins, Ansible, Nexus OS : Linux / Unix OS : Linux / Unix Agile methodology knowledge (Scrum, Jira, Confluence) Agile methodology knowledge (Scrum, Jira, Confluence) Soft Skills: Strong communication skills, with the ability to explain complex ideas clearly Strong communication skills, with the ability to explain complex ideas clearly Collaborative spirit and openness to working across time zones Collaborative spirit and openness to working across time zones Eagerness to learn and adapt in a fast-changing environment Eagerness to learn and adapt in a fast-changing environment Accountability and drive for quality Accountability and drive for quality Why Join Us? Make a tangible impact by fighting financial crime at a global scale Make a tangible impact by fighting financial crime at a global scale Work with modern tech: AI, GCP, containers, and automation tools Work with modern tech: AI, GCP, containers, and automation tools Collaborate with a global team of experienced professionals Collaborate with a global team of experienced professionals Be part of a purpose-driven organization that invests in innovation and ethical tech Be part of a purpose-driven organization that invests in innovation and ethical tech Ready to Apply? Help us protect the financial world through smarter technology. Apply now and be part of something meaningful. To learn more about Antal, please visit www.antal.pl","[{""min"": 170, ""max"": 220, ""type"": ""Net per hour - B2B""}]",Data Engineering,Data Engineering
Full-time,Senior,Permanent,Hybrid,82,Data Scientist,1dea,"Profil firmy: Dla globalnej firmy z branży rozrywki i technologii poszukujemy doświadczonych inżynierów. Firma zarządza rozpoznawalnymi na całym świecie markami, które docierają do miliardów użytkowników. Opis stanowiska: Poszukujemy Senior Data Scientist, który dołączy do zespołu rozwijającego zaawansowane rozwiązania analityczne i technologiczne dla globalnych platform cyfrowych. Osoba na tym stanowisku będzie odpowiedzialna za projektowanie i implementację nowoczesnych modeli danych oraz algorytmów wspierających optymalizację procesów i analizy danych w złożonym środowisku międzynarodowym. Obowiązki: Rozwój i implementacja zaawansowanych modeli danych optymalizujących i atrybucję. Tworzenie modeli predykcyjnych, prognozujących zachowania użytkowników i wyniki kampanii z wykorzystaniem technik machine learning. Analiza dużych zbiorów danych w celu identyfikacji trendów i wniosków dotyczących efektywności kampanii. Projektowanie eksperymentów w celu poprawy skuteczności modeli i ich ROI. Współpraca z międzynarodowymi zespołami oraz wdrażanie nowych technologii do procesów. Prowadzenie testów A/B na dużą skalę w celu weryfikacji modeli i optymalizacji wyników. Wymagania: Minimum 5 lat doświadczenia w pracy jako Data Scientist. Zaawansowana znajomość języka Python oraz narzędzi takich jak Pandas, NumPy, scikit-learn. Praktyczna wiedza z zakresu baz danych i SQL. Doświadczenie z platformami big data (Hadoop, Spark, Hive) oraz chmurami (AWS, GCP lub OCI). Wiedza o algorytmach uczenia maszynowego i modelowaniu atrybucji. Doświadczenie z platformami TV/CTV będzie dużym atutem. Bardzo dobra znajomość języka angielskiego.",[],Data Science,Data Science
Full-time,Senior,Any,Remote,83,Senior MLOps Engineer,Billennium,"More about us Billennium is a global technology company with over 20 years of experience, committed to innovation and empowering businesses. As an employer, we offer a supportive, growth-focused environment where collaboration and creativity thrive. Join us to shape the future of technology together! About the Client Project is based within our client who is a leader in the pharmaceutical and healthcare industry, driving digital innovation to transform global R&D capabilities. What you will do • Design, build, and optimize ML and data pipelines for LLM-driven applications. • Collaborate with cross-functional teams to deploy scalable, production-ready ML models. • Implement fine-tuning techniques for large language models. • Automate workflows and streamline processes with CI/CD tools and scripting. • Leverage cloud platforms and MLOps tools like AWS SageMaker, Kubeflow, or Vertex AI. What we are looking for • 5+ years of experience in Data Science, including 2+ years in ML Engineering, Data Engineering, or MLOps. • Strong programming skills in Python (R is a plus). • Hands-on experience with machine learning frameworks (e.g., TensorFlow, PyTorch). • Knowledge of LLMs, fine-tuning methods, and agentic/automation-oriented design. • Experience with cloud platforms (AWS, Azure, GCP) and DevOps best practices. Perks and benefits • Comprehensive benefits – enjoy Udemy for Business, private medical care, Multisport card, veterinary package, language lessons, and shopping vouchers. • Flexibility – adaptable working hours and remote/hybrid work options to suit your lifestyle & location. • Career growth – access opportunities for professional development and learning, including perks related to our official partnerships with global IT giants: Microsoft, AWS, Snowflake, Salesforce & more. • Global collaboration – work with a diverse, international team. • Innovative environment – be part of a forward-thinking and growth-oriented workplace. • Engaging community – work with passionate professionals and participate in team-building events, hackathons, and CSR initiatives to make an impact beyond work. • Team-building events including our company tradition (annual company event in Mazury). • A pleasant surprise to start your journey with us in the form of a welcome pack. Recruitment process: • HR call • Technical Interview • Interview with the dedicated Client • Final decision/Feedback Sounds interesting? Click "" Apply"" and have a chance to hear more! 📞",[],Data Science,Data Science
Full-time,Senior,B2B,Hybrid,84,KYC Tool Data Steward/Analyst,Ework Group,"💻 Ework Group - founded in 2000, listed on Nasdaq Stockholm, with around 13,000 independent professionals on assignment - we are the total talent solutions provider who partners with clients, in both the private and public sector, and professionals to create sustainable talent supply chains. With a focus on IT/OT, R&D, Engineering and Business Development, we deliver sustainable value through a holistic and independent approach to total talent management. By providing comprehensive talent solutions, combined with vast industry experience and excellence in execution, we form successful collaborations. We bridge clients and partners & professionals throughout the talent supply chain, for the benefit of individuals, organizations and society. 🔹 For our Client from banking industry we are looking for KYC Tool Data Steward/Analyst 🔹 ✔️Your areas of responsibility will include but not be limited to: Analyse existing KYC data to identify gaps, inconsistencies, and areas for improvement Work collaboratively with business and IT partners across business units to develop and implement data standards to ensure data accuracy & completeness Be part of major projects for delivery of Group KYC Tool Partner with Data Architects and business SMEs to create and maintain a Business Information Model (BIM) for each data domain that is aligned across the enterprise Monitor data quality metrics and report on findings to management Investigate and resolve data quality issues, escalating complex problems as needed Provide consultative services to agile delivery teams and ensure data governance best practices Support the implementation of new KYC systems and processes, ensuring data migration and integration are seamless and accurate Utilize enterprise approved tools to develop reproducible data-flows that ultimately fulfill reporting requirements Implement testing and monitor quality of developed data-flows and reporting outputs, performing upgrades as identified and maintenance as required Work with multiple customers to analyze and visualize complex data in simple and accurate ways Document data definitions, data lineage, and data quality rules Participate in data governance/stewardship communities of practice Contribute to the development and maintenance of data governance policies and procedures Stay up-to-date with industry best practices and regulatory requirements related to KYC data management Proactively identify opportunities to improve data quality and efficiency ✔️Your profile and background: Proven experience in data management, data quality, or a related role, preferably within the financial services industry Experience with advanced SQL queries and familiarity with another programming language, e.g. Python, R, Java and Scala Familiar with data taxonomy and capable to build small data models Experience with Power BI to produce reports Excellent stakeholder management is mandatory as you will be working closely with multiple business areas and key business leads across IT, Architecture, Financial Crime, Compliance, Legal - and the Business in order to implement changes Experience within financial crime (AML/CTF, KYC, Transaction Monitoring and Sanctions), working agile and experience with SAFe is an advantage Professional, organised, and structured in approach and work produced to a high quality of standard, and you always strive to find the solution that is best for the bank Excellent analytical and problem-solving skills, strong attention to detail and a commitment to data accuracy Ability to communicate effectively with both technical and non-technical audiences Experience with data governance frameworks and methodologies is a plus Experience with data migration and integration projects is a plus Ability to work independently and as part of a team Fluency in English is a requirement (speaking and writing) ✔️ We offer: B2B agreement Transparent working conditions with both Ework and the client Current support during our cooperation Possibility to work in an international environment Collaborative environment in Swedish organizational culture Private medical care Life insurance Multisport Teambuilding events",[],Data Analysis & BI,Data Analysis & BI
Full-time,Senior,B2B,Remote,85,Data Engineer (Databricks),Remodevs,"Role We are looking for an enthusiastic Senior Data Engineer to join our team. In this role, you will collaborate with skilled professionals dedicated to providing insights into user behavior. Your work will help the organization understand when, where, and how users engage with our digital platforms. As a Senior Data Engineer, you will take charge of developing and improving advanced data-tracking solutions, ensuring seamless platform integration and transforming data into valuable insights that drive key business decisions. We are a global manufacturing company based in Scandinavia, with offices and operations around the world. 4+ years of experience with Python Knowledge of Databricks Experience with Snowplow or other tracking solutions Skills in building and maintaining data pipelines with dbt Proficiency with cloud platforms (preferably Azure) Strong SQL skills for data processing and transformation Fluent English Collaborate with developers and product managers Design, build, and manage data pipelines using dbt to process bronze, silver, and gold data layers in Databricks Work with cloud infrastructure, particularly Azure Use SQL and Python to create reliable data solutions Ensure data quality, security, and compliance throughout its lifecycle","[{""min"": 20000, ""max"": 28000, ""type"": ""Net per month - B2B""}]",Data Engineering,Data Engineering
Full-time,Senior,B2B,Remote,86,Big Data Solutions Architect,Britenet,"About the project We are looking for an experienced Big Data Architect who will play a key role in the design, development, and oversight of data platforms. We seek someone who can combine a strategic approach to data architecture with hands-on expertise in technologies and tools—and who understands how these technologies support business decision-making. The ideal candidate should also have experience in pre-sales activities, including preparing cost estimates and collaborating with the sales team. Our expectations Minimum 6 years of professional experience in the Big Data domain, with a strong focus on designing and implementing large-scale solutions Advanced knowledge of Big Data technologies (eg., Hadoop, Apache Spark, Kafka, Flink, Hive, HBase) Proficiency in programming with Python or Java Familiarity with NoSQL databases (e.g., Cassandra, MongoDB) and relational databases Experience working with cloud platforms (AWS, Azure, Google Cloud) and containerization/orchestration tools (Docker, Kubernetes) Knowledge of data workflow orchestration tools (e.g., Apache Airflow, NiFi) Strong analytical skills and the ability to solve complex technical problems Experience in team leadership or mentoring junior team members Ability to create technical documentation and effectively communicate with both technical and business stakeholders Fluent English (C1 level) Welcome Skills Experience and practical knowledge in integrating AI and machine learning solutions with Big Data platforms Experience working with AI and ML frameworks, e.g., TensorFlow, PyTorch, scikit-learn, Spark MLlib Experience in selling BI products and solutions Key tasks Design, develop, and implement advanced Big Data architecture, including integration of AI and machine learning solutions Analyze business and technical requirements and translate them into scalable and efficient data processing solutions Select and integrate appropriate tools and technologies to support data processing and AI algorithms Optimize data pipelines for performance and reliability Monitor and maintain Big Data and AI infrastructure, ensuring high availability, scalability, and security Provide mentoring and technical support for junior team members Create technical documentation, presentations, and reports for business and technical stakeholders Actively participate in the strategic planning of the organization's data platform and AI solution development","[{""min"": 150, ""max"": 190, ""type"": ""Net per hour - B2B""}]",Data Architecture,Data Architecture
Full-time,Manager / C-level,B2B,Remote,87,Head of Data & Quant Engineering,RedStone,"RedStone is a fast-growing Polish blockchain startup revolutionizing oracle infrastructure . With a team of 40, over half being senior engineers and technical experts, we deliver scalable, secure, and low-latency off-chain data to smart contracts across multiple chains. We’ve secured over $6B in TVS, raised $15M in Series A funding, and were recognized by Forbes as the top VC-backed startup in Poland . Backed by leading Web3 names like Arrington Capital, Stani Kulechov (Aave), and Gnosis, our team includes alumni from Google, OpenZeppelin, and major crypto projects. We work remotely across time zones, with a Warsaw HQ for deep work and collaboration. JOIN THE REDSTONE TEAM! As Head of Data, you'll own the strategy and execution of RedStone’s data architecture. You’ll lead a high-performing technical team, define standards for data quality and reliability, and help deliver real-time intelligence for smart contracts across multiple chains and financial ecosystems. This is a high-impact leadership role at the intersection of DeFi, infrastructure, and big data. Lead the Data Engineering and Analytics function across the company Architect robust systems for collecting, validating, and aggregating off-chain and on-chain data Define and enforce data reliability, accuracy, and uptime standards Design monitoring systems to detect anomalies, manipulation attempts, and cross-source inconsistencies Work cross-functionally with Engineering, Product, and Business teams to turn raw data into mission-critical insights Grow and mentor a team of high-caliber data and backend engineers Research and prototype advanced data products (e.g., asset pricing models, latency-adjusted feeds, cross-DEX aggregation) Own the roadmap and delivery of the data infrastructure used by our oracle network Strong backend engineering background with Python, Go, or Rust Experience working with AWS (especially Lambda), event-driven architectures , and message queues like RabbitMQDeep knowledge of time-series databases (InfluxDB, TimescaleDB) and monitoring systems (Grafana, CloudWatch) Familiarity with on-chain data structures , smart contract logs, block timing, and decentralized data fetching Advanced understanding of financial or trading data , including anomaly detection, latency compensation, and pricing validation Quality-Driven Mindset – extreme attention to detail; cares deeply about data integrity in high-stakes environments Leadership & Mentoring – experience managing or mentoring technical teams, building culture, and scaling impact Ownership & Execution – strong project management and execution skills, especially in unstructured and fast-moving environments Experience with DEX protocols (Uniswap, GMX, dYdX, Curve, etc.) or DeFi lending platforms (Aave, Compound, Euler) Knowledge of CEX infrastructure , order books, matching engines, and arbitrage mechanics Understanding of liquidations , slippage , and pricing risk in lending/AMM environments Contributions to Web3 projects , DAOs, or open-source blockchain tooling Exposure to quantitative finance or financial modeling Hands-on experience with smart contracts , oracles, and price feed architecture The role can be fully remote but we also have an office in the center of Warsaw at Zgoda 3. Competitive salary (based on skills and experience) + token allocation after 3 months Multisport card and private healthcare Long-term stability and growth (Series A closed, backed by top global investors) Flexible hours A fixed, pre-agreed number of paid service break days. Top-tier equipment (MacBooks, external displays) Regular team off-sites, hackathons, and Web3 events Full ownership over your work A rare opportunity to build foundational infrastructure for the future of finance 🌐 Website 🧠 Docs 💻 GitHub 🐦 X Be part of a world-class team building mission-critical Web3 infrastructure. Apply now and redefine the future of decentralized data.","[{""min"": 25000, ""max"": 35000, ""type"": ""Net per month - B2B""}]",Unclassified,Unclassified
Full-time,Senior,Permanent,Remote,88,Data Scientist (Credit),Revolut,"People deserve more from their money. More visibility, more control, and more freedom. Since 2015, Revolut has been on a mission to deliver just that. Our powerhouse of products — including spending, saving, investing, exchanging, travelling, and more — help our 60+ million customers get more from their money every day. As we continue our lightning-fast growth,‌ 2 things are essential to our success: our people and our culture. In recognition of our outstanding employee experience, we've been certified as a Great Place to Work™. So far, we have 10,000+ people working around the world, from our offices and remotely, to help us achieve our mission. And we're looking for more brilliant people. People who love building great products, redefining success, and turning the complexity of a chaotic world into the simplicity of a beautiful solution. We approach Data Science at Revolut the same way that we approach everything else – with class, logical thinking, and lots of style 😎 Let’s break it down: we take the most complex problems and create tailor-made solutions for our customers 🚀 If you’re thinking the Data team is kept in some sort of a secret den, doomed to never see the impact of their work, don’t worry - that’s not how we do things. They’re some of our best and brightest problem-solvers, deployed to the front lines to work in product teams and deliver rockstar solutions 🤘 We start with deep data analysis to understand our customers, their objectives and any issues they might have. We then use various data points and advanced machine learning algorithms, to come up with the best possible option for each client. We experiment, iterate, and build fully automated solutions, based on algorithms which self-improve with time. We’re looking for next-level Data Scientists to board our FinTech rocket ship and shape the future of financial services apps. Phew! It’s a big task, but you won’t do it alone. 💪 You’ll be working with the toughest and most gifted professionals in Product, Design, Data Science and Engineering, on impactful projects that’ll make our company move forward ⏩ Building models for full Retail Credit lifecycle Improving existing algorithms and building new Proofs of Concept Delivering real impact to the product through rigorous data-driven solutions Researching and then delivering PoCs into data products Collaborating with product owners, engineers, and data scientists to continually solve complex data problems Experience working in a data science team of a credit institution A Bachelor's/Master's/PhD in STEM (Mathematics, Computer Science, Engineering) Excellent knowledge of data science tools, including, python coding, SQL and production tools A deep understanding of probability and statistics fundamentals A big-picture mindset to correctly diagnose problems, produce research, and discover solutions Excellent communication and collaboration skills to partner with Product Owners and business heads Building a global financial super app isn’t enough. Our Revoluters are a priority, and that’s why in 2021 we launched our inaugural D&I Framework, designed to help us thrive and grow everyday. We're not just doing this because it's the right thing to do. We’re doing it because we know that seeking out diverse talent and creating an inclusive workplace is the way to create exceptional, innovative products and services for our customers. That’s why we encourage applications from people with diverse backgrounds and experiences to join this multicultural, hard-working team.",[],Data Science,Data Science
Full-time,Senior,B2B,Remote,89,Data Engineer,TechTorch,"TechTorch is a pioneer among service companies in the way it conducts projects in the area of digital transformation. Through an implementation process supported by an AI-powered platform and a global team of world-class managers and technology experts, TechTorch has enabled dozens of private equity sector companies to accelerate the realization of business benefits. Job Description We are seeking a skilled and motivated Data Engineer to join our growing team. The ideal candidate will have a strong background in data engineering, with specific experience in working with Snowflake. You will be responsible for designing, building, and maintaining scalable data pipelines that can handle large volumes of data, ensuring the reliability, security, and performance of our data infrastructure. Key Responsibilities Design and Implement Data Pipelines: Develop, test, and maintain scalable data pipelines to support business analytics and reporting needs. Work with Snowflake: Design and optimize data architecture using Snowflake, including data modeling, data warehousing, and performance tuning. Data Integration: Integrate data from various sources, including APIs, databases, and third-party platforms, into our centralized data warehouse. Collaborate Across Teams: Work closely with data scientists, analysts, and other engineers to ensure data availability, quality, and reliability. Maintain Data Infrastructure: Monitor and maintain the performance and health of the data infrastructure, addressing any issues proactively. Documentation: Document data processes, pipeline architecture, and procedures for ongoing maintenance and future enhancements. Qualifications Experience with Snowflake: Minimum of 3 years of hands-on experience with Snowflake, including data warehousing, schema design, and query optimization. Programming Skills: Proficiency in programming languages such as Python, SQL. Data Pipeline Tools: Experience with ETL/ELT tools such as Apache Airflow, or similar. Cloud Platforms: Experience working with cloud platforms like AWS, Azure, or Google Cloud, particularly in data storage and processing. Database Management: Strong knowledge of relational and non-relational databases. Problem-Solving: Excellent problem-solving skills and ability to troubleshoot data issues quickly and efficiently. Communication: Strong communication skills, with the ability to collaborate effectively with cross-functional teams. What We Offer: Work in an international team Work with the largest capital groups in the world Development and rapid promotion opportunities Autonomy in action Participation in building a new global company Team-building activities","[{""min"": 21000, ""max"": 30000, ""type"": ""Net per month - B2B""}]",Data Engineering,Data Engineering
Full-time,Senior,Permanent or B2B,Remote,90,Data Engineer with Python,Sii,"We are looking for a Senior Data Engineer who is not merely familiar with Google Cloud Platform and data engineering concepts through adjacent development or integration tasks, but someone who truly lives and breathes data. You should feel fully at ease working in cloud environments and have a deep commitment to building reliable, scalable, and high-quality data infrastructure. This role is ideal for someone passionate about transforming raw data into meaningful insight, who understands the strategic value of data governance, and who thrives in dynamic, cross-functional teams. Designing, developing, and maintaining scalable data pipelines and ETL processes in GCP Optimizing data processing workflows for performance, reliability, and cost-efficiency Collaborating with data scientists, analysts, and business stakeholders to translate requirements into technical solutions Ensuring compliance with data quality standards and implementing governance best practices Driving and supporting the migration of on-premise data products to GCP Managing and evolving cloud-based infrastructure and deployment practices A minimum of 5 years of experience in data engineering or a similar role Proficiency in Python and SQL, with hands-on experience working in cloud environments (GCP preferred) Solid experience with Google Cloud services: BigQuery, Cloud Storage, Pub/Sub, Cloud Build, Cloud Composer, DataFlow Familiarity with infrastructure and deployment tools such as Terraform, OpenShift, Docker, Kubernetes, and CI/CD pipelines Working knowledge of Oracle, PL/SQL, Airflow, Git, Java, and Kafka Strong problem-solving skills, autonomy, and the ability to collaborate effectively in cross-functional teams Fluent Polish required Residing in Poland required Continuous Deployment Continuous Integration Great Place to Work since 2015 - it’s thanks to feedback from our workers that we get this special title and constantly implement new ideas Employment stability - revenue of PLN 2.1BN, no debts, since 2006 on the market We share the profit with Workers - over PLN 60M has already been allocated for this aim since 2022 Attractive benefits package - private healthcare, benefits cafeteria platform, car discounts and more Comfortable workplace – class A offices or remote work Dozens of fascinating projects for prestigious brands from all over the world – you can change them thanks to Job Changer application PLN 1 000 000 per year for your ideas - with this amount, we support the passions and voluntary actions of our workers Investment in your growth – meetups, webinars, training platform and technology blog – you choose Fantastic atmosphere created by all Sii Power People 1 Send your CV 2 Talk to us about your expectations 3 Learn more about our projects and choose the best 4 Start your adventure with Sii! Sii is the leading technology consulting, digital transformation, engineering, and business services vendor in Poland. We already employ more than 7 500 professionals and implement projects in a variety of industries for clients from many countries around the world. The Great Place to Work title, won 10 times in a row, proves that at Sii we create a friendly work environment. In a survey, as many as 90% of our employees responded that Sii is a great place to work, and 95% of them think we have a great atmosphere here.",[],Data Engineering,Data Engineering
Full-time,Senior,B2B,Remote,91,Big Data Engineer,ITDS,"Big Data Engineer Join us, and build data solutions that drive global innovation! Kraków - based opportunity with hybrid work model ( 2 days month in the office ). As a Big Data Developer, you will be working for our client, a leading global financial institution, contributing to the design and development of cutting-edge data solutions for risk management and analytics. The client is undergoing a strategic digital transformation, focusing on scalable, cloud-based big data platforms that support advanced analytics and regulatory compliance. You will be part of a high-performing Agile team, collaborating closely with business stakeholders and technical teams to build and maintain robust distributed systems that process large volumes of data efficiently. Designing and developing distributed big data solutions using Spark Implementing microservices and APIs for data ingestion and analytics Managing cloud-native deployments primarily on GCP Writing and maintaining test automation frameworks using tools like JUnit, Cucumber, or Karate Collaborating with cross-functional teams to translate business requirements into technical specifications Developing and scheduling data workflows using Apache Airflow Maintaining and optimizing existing big data pipelines Utilizing DevOps tools such as Jenkins and Ansible for CI/CD automation Participating in Agile ceremonies and contributing to sprint planning and retrospectives Monitoring, troubleshooting, and improving data systems and services A degree in Computer Science, IT, or a related discipline Proven experience in designing and developing big data systems Hands-on experience with Spark and distributed computing Solid Java , Python , and Groovy development skills Strong knowledge of the Spring ecosystem (Boot, Batch, Cloud) Familiarity with REST APIs, Web Services, and API Gateway technologies Practical experience in DevOps tooling like Jenkins and Ansible Proficiency in using RDBMS, especially PostgreSQL Hands-on experience with public cloud platforms, particularly GCP Excellent communication in English Experience with streaming technologies like Apache Beam or Flink Knowledge of OLAP solutions and data modeling Background in financial risk management or the banking industry Exposure to container technologies such as Docker and Kubernetes Familiarity with Traded Risk domain concepts Experience with RPC frameworks like gRPC Knowledge of data lakehouse tools like Dremio or Trino Hands-on experience with BI or UI development We offer you: ITDS Business Consultants is involved in many various, innovative and professional IT projects for international companies in the financial industry in Europe. We offer an environment for professional, ambitious, and driven people. The offer includes: Stable and long-term cooperation with very good conditions Enhance your skills and develop your expertise in the financial industry Work on the most strategic projects available in the market Define your career roadmap and develop yourself in the best and fastest possible way by delivering strategic projects for different clients of ITDS over several years Participate in Social Events, training, and work in an international environment Access to attractive Medical Package Access to Multisport Program Access to Pluralsight Flexible hours & remote work Internal job number #7225 You can report violations in accordance with ITDS’s Whistleblower Procedure available here .","[{""min"": 28000, ""max"": 31500, ""type"": ""Net per month - B2B""}]",Data Engineering,Data Engineering
